date,tvl_usd,symbol,fee_tier,project_contract_address
2022-05-24,162317392,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-05-25,161439445,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-05-26,144022314,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-05-27,134258079,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-05-28,136278768,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-05-29,137729041,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-05-30,125947125,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-05-31,124377994,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-01,121373995,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-02,121969445,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-03,126264963,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-05,131548418,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-06,142611655,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-07,158610045,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-08,156771689,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-09,156054146,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-10,152744644,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-11,134728502,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-12,122386233,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-13,104264126,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-14,102021705,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-15,103418609,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-16,111082470,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-17,111620956,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-18,113345926,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-19,118691510,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-20,118020906,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-21,120289856,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-22,115763849,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-23,120890808,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-24,126906692,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-25,128779851,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-26,126974781,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-27,127068241,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-28,124024936,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-29,121044943,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-06-30,115888075,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-01,118886421,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-02,119976337,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-03,116981858,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-04,121331821,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-05,119380595,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-06,122001805,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-07,123745068,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-08,124105760,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-09,123809867,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-10,121126128,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-11,116776746,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-12,113345440,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-13,116139183,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-14,122612673,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-15,125918138,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-16,131331497,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-17,132017141,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-18,138024509,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-19,140333040,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-20,139846835,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-21,128565073,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-22,126570498,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-23,126929144,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-24,130039504,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-25,124787388,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-26,121782704,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-27,130504233,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-28,137500892,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-29,137789642,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-30,136596652,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-07-31,137859520,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-01,136191034,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-02,136938419,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-03,136234949,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-04,135168075,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-05,139627744,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-06,139664669,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-07,139346585,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-08,137076732,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-09,136629935,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-10,141966189,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-11,134324347,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-12,133237144,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-13,134364226,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-14,133661291,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-15,132751023,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-16,132618004,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-17,131159089,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-18,132409245,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-19,122566798,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-20,124491472,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-21,126744245,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-22,125320035,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-23,124589060,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-24,125216937,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-25,130608738,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-26,125494748,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-27,122885177,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-28,121791518,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-29,117831903,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-30,117409299,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-08-31,113414686,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-09-01,113931760,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-09-02,113849715,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-09-03,112913136,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-09-04,113144507,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-09-05,114688287,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-09-06,114300777,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
