week,venue,size_bucket,swap_count,total_volume_usd,total_token_bought,total_token_sold
2025-07-14 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,69,128638.40145397655,30703.473605398955,98513.4758664187
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,363,278397.81846511015,106580.3867826836,124758.2168867577
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,4,480656.8093623492,66.91125094282417,66.66797630313498
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,575,10292939.982336298,3870191.5204050816,3909009.8560376065
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,5610,22118338.14749153,8359712.2313920725,8467716.724988783
2025-07-21 00:00:00.000 UTC,curve_usdt,0.5k-1k,44,36356.767172924425,13916.571781292456,21353.37882833255
2025-07-21 00:00:00.000 UTC,curve_usdt,10k-100k,290,5813774.30138358,2390395.7904852824,2591744.378344889
2025-07-21 00:00:00.000 UTC,curve_usdt,1k-10k,1113,5552799.332299722,2177225.257430688,2237516.9764957307
2025-07-21 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,151,115688.42801362573,55351.457175281714,44285.638924082676
2025-07-21 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,269,4407957.038697619,1782688.4048919987,1821886.3537012702
2025-07-21 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,4261,15753469.51403511,6055741.687162555,6126164.616893314
2025-07-21 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,388,272693.66904138203,145905.51729510783,127281.16046534653
2025-07-21 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,136,181775.97229134373,93045.8156543427,89117.14681102862
2025-07-21 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,441,325763.12459790905,174879.53526573986,151527.46111050042
2025-07-21 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,304,459644.819672666,236124.548416974,224673.79157775856
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,11392,8374028.121882072,4503796.971966666,3874950.2448350396
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,1185,407794421.3274564,204262530.8126672,203886220.9501646
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,12205,229739027.00233772,110529384.99282272,119475649.5999372
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,38535,162892987.06794167,84758854.16077144,78303307.63931799
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,10287,7592667.979698577,4016501.7252943586,3577847.302285079
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,1559,532573934.175145,266251961.12820858,263720224.70724282
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,13188,260014778.4200778,126007791.38374922,134166691.08471258
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,40892,175600724.1529482,90914262.30253035,84785188.69065075
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,3395,2452118.6686841515,1344041.7211274332,1110073.8257771973
