week,project_contract_address,symbol,fee_tier,tvl_usd
2022-04-18,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,60931467.571428575
2022-04-18,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,183610623.0
2022-04-18,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,198905844.14285713
2022-04-18,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,12040887.142857144
2022-04-18,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,261767870.85714287
2022-04-18,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,400333247.4285714
2022-04-18,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,446813954.5
2022-04-25,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,60667352.0
2022-04-25,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,51081871.14285714
2022-04-25,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,186887992.14285713
2022-04-25,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,193128604.2857143
2022-04-25,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,12050411.285714285
2022-04-25,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,275882807.14285713
2022-04-25,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,391483577.71428573
2022-04-25,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,435954064.85714287
2022-04-25,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,0.01%,139397.25
2022-05-02,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,59760342.571428575
2022-05-02,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,53268797.571428575
2022-05-02,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,164790333.42857143
2022-05-02,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,196420470.57142857
2022-05-02,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,11487687.857142856
2022-05-02,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,302953064.0
2022-05-02,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,400533275.14285713
2022-05-02,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,432460690.85714287
2022-05-02,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,0.01%,140076.0
2022-05-09,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,46058671.428571425
2022-05-09,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,31295749.285714287
2022-05-09,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,138448498.14285713
2022-05-09,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,161623232.0
2022-05-09,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,14377240.714285715
2022-05-09,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,225307529.42857143
2022-05-09,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,335722155.14285713
2022-05-09,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,241221998.64285713
2022-05-16,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,41318863.571428575
2022-05-16,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,29211065.0
2022-05-16,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,102350386.85714285
2022-05-16,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,161603125.7142857
2022-05-16,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,10732066.285714285
2022-05-16,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,258861091.42857143
2022-05-16,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,348902156.5714286
2022-05-16,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,243947274.92857143
2022-05-16,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,0.01%,130955.0
2022-05-23,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,40082073.28571428
2022-05-23,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,26463446.85714286
2022-05-23,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,79780817.57142857
2022-05-23,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,148381277.7142857
2022-05-23,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,10317058.285714285
2022-05-23,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,278463592.0
2022-05-23,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,329433268.28571427
2022-05-23,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,247036640.35714287
2022-05-23,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,0.01%,123706.42857142857
